,Commodity
Wheat,23129
Rye,9239
Barley,8601
Wine,4678
Oats,4563
Cloth,3405
Salt,3046
Sugar,2916
Oil,2774
Beef,2635
Rice,2454
Butter,2421
Paper,2354
Coal,2033
Peas,1926
Cheese,1778
Charcoal,1661
Herring,1620
Beer,1587
Soap,1585
Candles,1480
Flour,1459
Firewood,1435
Eggs,1424
Iron,1290
Pepper,1218
Bread,1091
Nails,950
Bricks,923
Tallow,863
Vinegar,850
Tea,841
Wool,838
Veal,833
Wax,823
Wood,755
Mutton,675
Ginger,654
Clothing,642
Milk,618
Hay,612
Suet,606
Saffron,594
Beans,583
Pork,577
Hops,575
Millet,561
Gold,532
Bean,523
Pewter,514
Straw,513
Coffee,489
Rent,472
Oatmeal,455
Currants,446
Parchment,427
Flax,414
Tobacco,407
Shoes,407
Codfish,404
Shovel,392
Cod,390
Lime,388
Potato,378
Carp,364
Linen,352
Bark,343
Lead,341
Cinnamon,329
Candle,321
Cloves,316
Copper,291
Honey,271
Maize,270
Sorghum,262
Sake,251
Tax,239
Brandy,232
Bacon,230
Soya Sauce,212
Miso,212
Silk,203
Apples,193
Axe,193
Lard,193
Brick,187
Canvas,184
Slave,179
Transportation,168
Glass,165
Salmon,164
Mustard,159
Chicken,153
Cider,152
Whiskey,151
Tiles,147
Books,142
Meat,134
Raisins,134
Boots,131
Cream,128
Stockfish,125
Turkey,104
Rum,103
Saw,103
Pike,101
Cotton,100
Grains,99
Spirits,99
Ox,95
Tar,93
Glassware,91
Horse shoes,86
Ashes,81
Cocao,80
Cabbage,77
Grain,76
Stockings,68
Gin,66
Print,65
Trenchers,61
Chicory,61
Mortar,61
Treacle,60
Peat,60
Scythe,59
Lamb,56
Coalgas,55
Spelt,55
Ham,54
Shot,54
Nutmeg,54
Chocolate,53
Pork Mess,53
Turpentine,53
Pie Fruits,52
Quicksilver,52
Turnips,51
Socks,51
Boards,48
Sheeting,42
Allspice,42
Soybean,39
Soy,39
Garbanzo,38
Kerosene,38
Maple Syrup,37
Oilcake,36
Yerba,36
Molasses,34
Poultry,33
Goat,32
Chickpeas,30
Meal,29
Insurance,27
Plum,17
Malmsey,14
Cordage,14
Sausage,9
Caraway,7
Oranges,7
Buchwheat,5
Speck,5
Fish,4
Underpants,4
